Method,Accuracy
Constant,0.48
MLP,0.6853333333333333
ResNet,0.6656666666666666
FTTrans,0.6873333333333334
boosted_trees,0.6866666666666666
rf,0.687
logistic_regression,0.6723333333333333
engression,0.6653333333333333
GAM,
GP,
