Method,Accuracy
Constant,0.46825916230366493
MLP,0.6410340314136126
ResNet,0.6397251308900523
FTTrans,0.6564136125654451
boosted_trees,0.6511780104712042
rf,0.6593586387434555
logistic_regression,0.6243455497382199
engression,0.6446335078534031
GAM,
GP,
