Method,Accuracy
Constant,0.3588945114830673
MLP,0.8298949007395874
ResNet,0.7103931490852472
FTTrans,0.8341767224601012
boosted_trees,0.8415725963409887
rf,0.8505254963020631
logistic_regression,0.8287271311794473
engression,0.8458544180615025
GAM,0.8606461658232776
GP,0.8322304398598677
