Method,RMSE
constant,0.6840328148391351
MLP,0.4028172492980957
ResNet,0.46737736463546753
FTTrans,0.428191602230072
boosted_trees,0.3338061531578193
rf,0.3329821666797828
linear_regression,0.5469369438722802
engression,0.38824087381362915
GAM,0.42260051484893896
