Method,RMSE
constant,0.9397618223753441
MLP,0.3231214880943298
ResNet,0.8390258550643921
FTTrans,0.483970582485199
boosted_trees,0.2492968851224455
rf,0.3524755362021238
linear_regression,0.4040598467300554
engression,0.2786831557750702
GAM,0.8833037311767844
