Method,Accuracy
Constant,0.4839319470699433
MLP,0.7958412098298677
ResNet,0.7906427221172023
FTTrans,0.7977315689981096
boosted_trees,0.8005671077504726
rf,0.8005671077504726
logistic_regression,0.7542533081285444
engression,0.7892249527410208
GAM,
GP,
