Method,Accuracy
Constant,0.49566666666666664
MLP,0.738
ResNet,0.7433333333333333
FTTrans,0.757
boosted_trees,0.7723333333333333
rf,0.7563333333333333
logistic_regression,0.7023333333333334
engression,0.7576666666666667
GAM,
GP,
