Method,CRPS
constant,10.553557869718292
MLP,13.201380925228202
ResNet,10.273603056145236
FTTrans,11.26608804998872
distributional_boosted_trees,14.669575686084013
drf,14.144451431994248
boosted_trees,14.061091915906204
rf,14.003613958524
linear_regression,13.696512704258213
engression,14.634939564904014
GAM,12.175057487151268
GP,
