Method,RMSE
constant,0.1066269944605323
MLP,0.0591138266026973
ResNet,0.0904654264450073
FTTrans,0.0619990527629852
boosted_trees,0.0701228300276146
rf,0.0691808301342645
linear_regression,0.0895961470784068
engression,0.0641235262155532
GAM,0.0606213456798449
GP,0.0745786627159032
