Method,RMSE
constant,0.6847451039109282
MLP,0.5570999979972839
ResNet,0.4816150367259979
FTTrans,0.3459773361682892
boosted_trees,0.3200361554021836
rf,0.3368447527200391
linear_regression,0.4520012159884634
engression,0.4033178687095642
GAM,0.8040905617435437
GP,0.4501954201865218
