Method,RMSE
constant,0.9549357473169142
MLP,0.2920982241630554
ResNet,0.968847930431366
FTTrans,0.0824563428759574
boosted_trees,0.1382788582914951
rf,0.1841104785011735
linear_regression,0.8793436214565296
engression,0.1920792311429977
GAM,5.999114068010612
GP,0.19674426042464607
