Method,Accuracy
Constant,0.3728733459357278
MLP,0.7911153119092628
ResNet,0.610586011342155
FTTrans,0.8156899810964083
boosted_trees,0.8275047258979206
rf,0.8218336483931947
logistic_regression,0.7622873345935728
engression,0.7944234404536862
GAM,0.5595463137996219
