Method,Accuracy
Constant,0.422
MLP,0.7345
ResNet,0.5765
FTTrans,0.7325
boosted_trees,0.7515
rf,0.7495
logistic_regression,0.721
engression,0.743
GAM,0.737
GP,0.75
