Method,Accuracy
Constant,0.4666666666666667
MLP,0.7456666666666667
ResNet,0.522
FTTrans,0.7526666666666667
boosted_trees,0.7653333333333333
rf,0.7626666666666667
logistic_regression,0.73
engression,0.7373333333333333
GAM,0.6873333333333334
GP,0.553
