Method,Accuracy
Constant,0.417
MLP,0.7183333333333334
ResNet,0.7033333333333334
FTTrans,0.689
boosted_trees,0.6726666666666666
rf,0.7076666666666667
logistic_regression,0.7113333333333334
engression,0.6393333333333333
GAM,
GP,
