Method,CRPS
constant,1.1840017871519473
MLP,1.2038676217414568
ResNet,1.1770567837286865
FTTrans,1.156334563978222
distributional_boosted_trees,1.1507737288460096
drf,1.1183479070562683
boosted_trees,1.15428060934714
rf,1.1521844458210737
linear_regression,1.199832985674657
engression,1.172689494683557
GAM,1.2022813367097591
GP,
