Method,Accuracy
Constant,0.4974573736165121
MLP,0.7008674842955429
ResNet,0.4759198324857912
FTTrans,0.7376607837271911
boosted_trees,0.7265928806461263
rf,0.7364642536643733
logistic_regression,0.6877056536045468
engression,0.7056536045468143
GAM,0.7065510020939276
