Method,CRPS
GP,59.16435169591171
MLP,48.76351590288167
ResNet,15.745058930608618
FTTrans,
boosted_trees,10.199871205485586
drf,13.70798251661339
linear_regression,30.335993731879395
engression,6.6947934175173875
