Method,CRPS
constant,7.026515661479688
MLP,5.26320391352376
ResNet,5.34896606310478
FTTrans,
distributional_boosted_trees,4.034657527686139
drf,3.888411033948246
boosted_trees,4.211247521896853
rf,4.210583626359227
linear_regression,207.02945554211456
engression,4.1691623846217185
GAM,
GP,
