Method,RMSE
constant,0.5627651241029445
MLP,0.1711384356021881
ResNet,0.1766904592514038
FTTrans,0.15991516411304474
boosted_trees,0.14685033956662075
rf,0.16680066351479172
linear_regression,0.29977946546920925
engression,0.15138201415538788
GAM,0.17894720941780318
