Method,Log Loss
constant,0.6930740689576181
MLP,0.4529877965255899
ResNet,0.4521296469497357
FTTrans,0.4485441821080279
boosted_trees,0.3647645314415009
rf,0.4098037886924429
logistic_regression,0.6555984321475113
engression,0.4679538471307095
GAM,
