Method,Log Loss
constant,0.6932445296686786
MLP,0.6186698267294097
ResNet,0.6223956186192776
FTTrans,0.6184743416529609
boosted_trees,0.6130307588811728
rf,0.614570110084665
logistic_regression,0.6404716246938058
engression,0.6306748429771765
GAM,
GP,
