Method,Accuracy
Constant,0.4995513012264433
MLP,0.6984744241699072
ResNet,0.4935686509123542
FTTrans,0.7029614119054741
boosted_trees,0.752617409512414
rf,0.7376607837271911
logistic_regression,0.7008674842955429
engression,0.7370625186957822
GAM,0.7092431947352678
