Method,RMSE
constant,4.172599348638648
MLP,2.748438596725464
ResNet,2.710313320159912
FTTrans,2.0933172702789307
boosted_trees,2.1885180438521195
rf,2.185423483059085
linear_regression,2.318758249282837
engression,2.081288576126098
GAM,1.8497657371963647
GP,
