Method,Accuracy
Constant,0.07564377682403434
MLP,0.6732832618025751
ResNet,0.4061158798283262
FTTrans,0.5434549356223176
boosted_trees,0.6121244635193133
rf,0.5879828326180258
logistic_regression,0.44527896995708155
engression,0.5810085836909872
GAM,0.4876609442060086
