Method,CRPS
constant,9.998454626233006
MLP,14.255907853103311
ResNet,11.779130671387286
FTTrans,12.208996390501609
distributional_boosted_trees,16.778743955783135
drf,16.537902378290745
boosted_trees,16.745630656623533
rf,15.66370275583762
linear_regression,15.52291603252927
engression,16.487013549373334
GAM,14.94663578274922
GP,
