Method,RMSE
constant,521.9384387864873
MLP,451.05364990234375
ResNet,502.3011474609375
FTTrans,446.9140930175781
boosted_trees,445.22118095411673
rf,446.66173658677616
linear_regression,464.6498829921985
engression,449.0468444824219
GAM,445.24462118806537
GP,
