Method,Log Loss
constant,0.7121008886277108
MLP,0.4052497456598234
ResNet,0.681720475112679
FTTrans,0.3645121618457386
boosted_trees,0.3338600574083164
rf,0.3738448149754615
logistic_regression,0.4237255267904067
engression,0.5158752905823366
GAM,0.4190489495419238
GP,0.4029591463174011
