Method,CRPS
constant,260.45761043222245
MLP,228.0738921084088
ResNet,228.76038604652945
FTTrans,224.5093927628709
distributional_boosted_trees,251.7349655698638
drf,199.58482331265657
boosted_trees,218.655244070754
rf,218.65699538300785
linear_regression,233.2402017939149
engression,210.2289140501272
GAM,218.17489705895102
GP,
