Method,RMSE
constant,15.633082002345184
MLP,20.883804321289062
ResNet,11.993563652038574
FTTrans,
boosted_trees,9.290657485268243
rf,9.257625831952566
linear_regression,53309.433964178075
engression,11.15475082397461
GAM,
GP,
