Method,Accuracy
Constant,0.5083333333333333
MLP,0.7476666666666667
ResNet,0.7536666666666667
FTTrans,0.7676666666666667
boosted_trees,0.764
rf,0.7563333333333333
logistic_regression,0.6866666666666666
engression,0.761
GAM,
GP,
