Method,Accuracy
Constant,0.3416666666666667
MLP,0.522
ResNet,0.519
FTTrans,0.5993333333333334
boosted_trees,0.6713333333333333
rf,0.6663333333333333
logistic_regression,0.6673333333333333
engression,0.617
GAM,
GP,
