Method,RMSE
constant,0.6002914346912253
MLP,0.4044196307659149
ResNet,0.3978229463100433
FTTrans,0.4165816605091095
boosted_trees,0.3855601570130796
rf,0.3820488374982093
linear_regression,0.460282832372031
engression,0.3930437564849853
GAM,
GP,
