Method,CRPS
constant,0.0002232400668586
MLP,0.0001473236080654
ResNet,0.0002116358655281
FTTrans,0.0002315278032881
distributional_boosted_trees,0.0001193223317069
drf,9.092583403781356e-05
boosted_trees,8.595381963981782e-05
rf,9.108227891829382e-05
linear_regression,9.563313645248948e-05
engression,8.599900393184296e-05
GAM,9.352848334615051e-05
GP,0.0001220120099236304
