Method,RMSE
constant,8.692882082587419
MLP,8.863335609436035
ResNet,21.788421630859375
FTTrans,5.883704662322998
boosted_trees,4.9429812220720155
rf,5.760251337468696
linear_regression,75.1748471938861
engression,15.253355979919434
GAM,36.47257535914173
