Method,CRPS
constant,0.530886807922021
MLP,0.1673883506227105
ResNet,0.2226203131521106
FTTrans,0.1665345282993575
distributional_boosted_trees,0.0608863238432091
drf,0.0511347009341531
boosted_trees,0.0573887610221656
rf,0.0768394544874537
linear_regression,0.2798351957642609
engression,0.0467053780058531
GAM,0.047878212555501516
GP,
