Method,Accuracy
Constant,0.3740112994350282
MLP,0.6745762711864407
ResNet,0.519774011299435
FTTrans,0.6693032015065913
boosted_trees,0.6783427495291902
rf,0.6888888888888889
logistic_regression,0.6335216572504708
engression,0.6621468926553672
GAM,
GP,0.6907721280602637
