Method,RMSE
constant,0.5364493023718243
MLP,0.4721417129039764
ResNet,0.5200961828231812
FTTrans,0.4738167226314544
boosted_trees,0.410265804591718
rf,0.3989547353244891
linear_regression,0.4606930379607659
engression,0.5104349255561829
GAM,0.47421691200342486
GP,
