Method,Accuracy
Constant,0.4215
MLP,0.743
ResNet,0.569
FTTrans,0.7175
boosted_trees,0.745
rf,0.7445
logistic_regression,0.712
engression,0.7565
GAM,0.739
GP,0.7475
