Method,Accuracy
Constant,0.4967148488830486
MLP,0.5643889618922471
ResNet,0.5085413929040736
FTTrans,0.5768725361366623
boosted_trees,0.6438896189224704
rf,0.599868593955322
logistic_regression,0.5532194480946123
engression,0.5354796320630749
GAM,
GP,0.5413929040735874
