Method,Accuracy
Constant,0.4643333333333333
MLP,0.7436666666666667
ResNet,0.737
FTTrans,0.761
boosted_trees,0.8033333333333333
rf,0.7903333333333333
logistic_regression,0.72
engression,0.776
GAM,
GP,0.74
