Method,RMSE
constant,2.0031152826291816
MLP,1.9649280309677124
ResNet,1.9609442949295044
FTTrans,1.9699053764343262
boosted_trees,1.950762480100097
rf,1.952553190295179
linear_regression,1.958681579073127
engression,1.9749826192855835
GAM,
GP,
