Method,Accuracy
Constant,0.3973333333333333
MLP,0.792
ResNet,0.791
FTTrans,0.796
boosted_trees,0.8383333333333334
rf,0.836
logistic_regression,0.789
engression,0.8216666666666667
GAM,
GP,
