Method,Accuracy
Constant,0.4507227332457293
MLP,0.5900131406044679
ResNet,0.5177398160315374
FTTrans,0.6031537450722734
boosted_trees,0.6412614980289093
rf,0.6445466491458607
logistic_regression,0.6064388961892248
engression,0.5959264126149802
GAM,
GP,
