Method,RMSE
constant,1.324901945783552
MLP,0.7415785789489746
ResNet,0.7494819164276123
FTTrans,0.3213929235935211
boosted_trees,0.2878236153105341
rf,0.277977097802221
linear_regression,0.4927869289332682
engression,0.3320905566215515
GAM,0.4385534889504902
GP,0.2670736785969267
