Method,CRPS
constant,0.5745349281619082
MLP,0.49933247370947276
ResNet,0.5088976714462744
FTTrans,0.4211936461966936
distributional_boosted_trees,0.3624653825750907
drf,0.396573711430693
boosted_trees,0.37896017790300934
rf,0.4040197993593499
linear_regression,0.7213947346898267
engression,0.47998915500061184
GAM,0.891210935532448
