Method,Log Loss
constant,0.6951164106708418
MLP,0.7129183522531869
ResNet,0.7024716112116718
FTTrans,0.5261051533683361
boosted_trees,0.4947173983118821
rf,0.4953088696982957
logistic_regression,0.8959665443025835
engression,0.8368399978170444
GAM,0.7863201668011525
GP,14.711076959693159
