Method,Log Loss
constant,0.6938411354534484
MLP,0.3527251047220201
ResNet,0.7025040556938529
FTTrans,0.3005972005663045
boosted_trees,0.2765939519480029
rf,0.3036432968111012
logistic_regression,0.7481159109400634
engression,0.4435016820640912
GAM,
GP,
