Method,Accuracy
Constant,0.48464912280701755
MLP,0.7854010025062657
ResNet,0.7869674185463659
FTTrans,0.7741228070175439
boosted_trees,0.7568922305764411
rf,0.7640977443609023
logistic_regression,0.7772556390977443
engression,0.7625313283208021
GAM,
GP,
